geo	year	month	backing_unsafely_mtd	brake_lights_defect_or_improper_mtd	bus_lane_driving_in_mtd	cell_phone_mtd	commercial_veh_on_pkwy_mtd	defective_brakes_mtd	disobey_sign_mtd	equipment_other_mtd	fail_to_keep_right_mtd	fail_to_signal_mtd	fail_to_stop_on_signal_mtd	following_too_closely_mtd	headlights_defect_or_improper_mtd	improper_lights_mtd	improper_passing_mtd	improper_turn_mtd	improper_missing_plates_mtd	not_giving_r_of_w_to_pedes_mtd	not_giving_r_of_w_to_veh_mtd	one_way_street_mtd	pavement_markings_mtd	safety_belt_mtd	school_bus_passing_stopped_mtd	speeding_mtd	spillback_mtd	tinted_windows_mtd	truck_routes_mtd	u_turn_mtd	uninspected_mtd	uninsured_mtd	unlicensed_operator_mtd	unregistered_mtd	unsafe_lane_change_mtd	other_movers_mtd	total_movers_mtd	backing_unsafely_ytd	brake_lights_defect_or_improper_ytd	bus_lane_driving_in_ytd	cell_phone_ytd	commercial_veh_on_pkwy_ytd	defective_brakes_ytd	disobey_sign_ytd	equipment_other_ytd	fail_to_keep_right_ytd	fail_to_signal_ytd	fail_to_stop_on_signal_ytd	following_too_closely_ytd	headlights_defect_or_improper_ytd	improper_lights_ytd	improper_passing_ytd	improper_turn_ytd	improper_missing_plates_ytd	not_giving_r_of_w_to_pedes_ytd	not_giving_r_of_w_to_veh_ytd	one_way_street_ytd	pavement_markings_ytd	safety_belt_ytd	school_bus_passing_stopped_ytd	speeding_ytd	spillback_ytd	tinted_windows_ytd	truck_routes_ytd	u_turn_ytd	uninspected_ytd	uninsured_ytd	unlicensed_operator_ytd	unregistered_ytd	unsafe_lane_change_ytd	other_movers_ytd	total_movers_ytd
34th Precinct	2012	7	0	34	0	77	0	5	58	19	0	1	12	0	16	0	1	21	5	7	0	0	4	23	0	4	0	3	0	0	9	11	20	4	1	9	344	2	340	0	639	0	5	611	93	5	19	174	0	172	0	8	241	11	75	1	4	34	475	40	29	0	138	10	7	18	81	154	38	3	124	3551
40th Precinct	2012	7	2	26	0	128	0	0	35	0	1	12	49	1	21	0	3	50	0	3	13	7	20	77	0	13	2	127	0	6	0	65	71	9	3	21	765	30	71	0	1141	0	5	438	2	24	87	379	34	86	5	39	565	2	46	106	20	249	696	20	193	24	1309	0	30	3	399	620	63	31	165	6882
41st Precinct	2012	7	0	17	0	26	0	0	64	1	0	4	9	0	7	0	1	23	1	2	0	1	7	37	0	69	0	25	3	1	4	53	36	10	0	2	403	5	154	0	273	0	0	965	16	0	25	157	1	136	1	2	280	11	10	11	14	150	439	14	233	22	267	51	14	35	352	288	88	15	52	4081
42nd Precinct	2012	7	0	4	0	112	0	6	90	0	0	5	44	0	14	1	1	54	0	1	1	0	13	81	2	20	0	75	2	1	2	28	48	5	0	11	621	8	25	0	717	2	7	542	0	0	20	474	1	42	10	4	882	0	31	8	2	98	555	107	143	5	542	4	1	25	171	272	75	4	118	4895
43rd Precinct	2012	7	3	56	0	25	2	0	38	2	0	18	19	1	123	0	0	39	0	0	0	1	11	50	0	19	1	49	1	1	0	27	33	8	2	27	556	16	1017	1	272	15	36	274	31	8	118	265	1	1113	3	1	452	15	20	5	11	129	641	11	80	90	387	11	57	10	129	431	63	24	269	6006
44th Precinct	2012	7	0	14	0	62	0	0	77	11	0	5	6	0	24	0	0	2	8	1	1	1	0	143	0	28	0	53	1	0	12	31	58	25	1	13	577	14	157	0	708	0	8	1573	157	2	43	84	1	178	1	1	74	76	16	2	7	42	1163	12	75	13	611	2	51	70	296	526	157	14	100	6234
45th Precinct	2012	7	1	20	0	40	0	0	27	0	0	4	24	0	16	0	0	0	0	0	0	6	26	63	0	36	0	139	0	3	0	37	28	5	0	27	502	2	94	0	369	1	66	358	7	0	17	126	1	86	2	1	14	2	19	1	24	78	526	14	202	0	793	0	15	15	221	176	24	1	102	3357
46th Precinct	2012	7	4	48	0	93	0	0	103	11	0	8	11	1	47	0	0	1	1	3	0	0	6	24	0	24	0	229	0	2	2	88	32	17	0	53	808	9	329	0	875	0	7	728	86	0	75	117	3	235	4	5	128	6	12	4	7	51	377	7	87	0	1874	3	30	14	695	372	111	16	390	6657
47th Precinct	2012	7	0	33	0	33	0	0	8	0	0	5	6	0	16	0	1	10	0	2	0	0	2	143	0	15	0	39	0	0	4	91	31	12	1	5	457	1	165	0	352	0	0	86	0	0	7	35	1	139	0	1	122	0	15	1	0	7	1159	9	141	0	882	0	2	37	735	285	124	3	52	4361
48th Precinct	2012	7	0	8	4	126	0	0	9	0	0	1	24	0	12	0	2	98	0	2	1	2	11	125	0	160	18	31	16	7	0	15	71	10	1	6	760	0	42	8	1060	0	0	169	0	0	9	151	14	45	0	14	523	2	31	4	8	80	682	17	905	57	895	17	48	2	72	418	48	7	69	5397
49th Precinct	2012	7	4	33	0	35	0	0	56	0	3	0	6	0	13	0	6	7	0	2	0	1	0	39	0	16	0	30	2	0	4	20	22	4	1	4	308	13	333	0	261	0	0	892	0	13	1	35	1	153	0	12	198	0	37	1	4	0	409	7	62	5	250	25	1	34	240	356	37	11	64	3455
50th Precinct	2012	7	0	5	0	128	0	0	80	3	0	1	6	0	4	0	0	2	0	0	0	2	1	97	1	14	0	33	1	0	0	15	24	1	0	15	433	5	73	0	1091	0	3	555	45	1	35	45	0	113	1	1	27	5	1	1	19	13	1027	9	44	0	206	1	5	4	148	110	13	3	69	3673
52nd Precinct	2012	7	1	53	0	127	3	0	26	1	1	6	10	0	105	1	1	60	8	0	1	1	11	85	0	5	0	146	1	21	4	53	95	38	3	49	916	2	286	1	1079	9	0	131	11	3	45	111	1	483	10	4	878	32	14	7	9	154	538	12	11	6	1401	18	72	81	360	637	200	19	185	6810
60th Precinct	2012	7	2	5	0	144	0	0	121	0	0	8	19	0	0	0	0	9	0	12	2	3	8	75	0	11	0	79	0	0	0	20	33	1	1	9	562	5	43	0	1071	0	0	1009	0	0	68	192	2	35	0	9	160	2	93	17	25	115	628	36	148	1	746	15	9	4	152	257	17	17	167	5043
61st Precinct	2012	7	0	4	0	148	0	0	9	2	0	5	13	0	4	0	1	1	0	20	2	1	4	245	0	20	0	35	14	0	3	45	29	13	2	6	626	2	27	0	1338	0	0	152	16	0	22	86	3	42	4	9	42	4	158	6	6	23	2114	6	111	0	508	113	3	10	280	181	37	14	175	5492
62nd Precinct	2012	7	1	66	0	156	0	0	81	5	0	22	87	1	9	2	10	35	5	19	5	22	10	187	0	14	1	111	4	1	0	51	67	12	4	35	1023	5	340	0	1491	1	8	637	17	0	155	479	4	96	13	31	313	24	116	21	84	188	1677	42	115	5	903	128	15	11	491	493	73	9	241	8226
63rd Precinct	2012	7	0	5	0	84	0	0	85	1	0	12	13	0	4	0	6	17	0	2	0	0	4	42	0	5	0	64	1	3	0	16	25	4	6	27	426	10	16	0	1236	0	0	1089	1	3	53	243	10	8	2	36	141	0	62	7	5	87	749	18	58	7	674	33	5	0	78	235	11	29	145	5051
66th Precinct	2012	7	2	15	0	90	0	0	76	1	0	9	25	0	3	0	0	19	0	18	1	0	0	174	2	3	0	59	11	0	6	58	47	12	0	21	652	7	78	0	969	0	1	773	1	0	143	154	1	22	0	1	88	11	169	9	1	7	1515	54	102	1	276	179	0	35	488	366	83	8	228	5770
67th Precinct	2012	7	0	33	0	146	0	2	13	1	0	7	29	1	31	2	1	6	7	3	1	3	9	195	1	6	1	418	0	44	19	238	98	26	8	51	1400	21	185	0	1462	0	2	195	3	1	74	302	1	208	10	9	19	47	44	9	11	65	1597	29	34	24	3309	52	261	169	1468	717	163	27	369	10887
68th Precinct	2012	7	1	48	0	112	0	0	29	0	0	3	19	0	29	0	1	6	1	13	0	3	0	84	0	2	0	35	2	0	0	33	41	5	1	13	481	2	229	0	1103	0	0	608	9	1	29	233	1	227	0	3	140	6	146	5	11	10	1133	42	42	13	387	165	6	1	335	392	25	10	114	5428
69th Precinct	2012	7	1	77	0	204	0	0	38	2	0	0	18	0	18	0	12	48	1	3	2	0	36	168	0	19	1	104	2	0	2	60	46	16	0	30	908	11	528	0	1128	0	0	302	40	0	0	141	2	227	35	280	311	15	38	18	2	157	1133	34	123	5	883	39	3	26	445	310	95	2	163	6496
70th Precinct	2012	7	0	0	0	155	0	0	63	12	0	0	60	1	0	32	0	58	0	14	6	3	0	117	2	15	10	96	1	0	4	98	58	5	7	28	845	8	0	0	2176	0	0	956	31	3	1	388	2	0	398	14	780	1	198	51	53	0	1725	60	68	139	1097	13	3	33	821	644	143	85	601	10492
71st Precinct	2012	7	7	108	0	124	2	0	405	2	0	20	46	1	48	1	5	37	2	10	4	2	60	81	0	9	20	150	1	0	4	131	85	25	0	22	1412	35	794	0	1419	4	0	3091	12	0	211	462	4	435	5	44	361	45	112	40	33	442	908	27	75	53	1138	35	11	78	903	655	246	8	114	11800
72nd Precinct	2012	7	0	16	0	41	0	1	50	0	0	4	23	1	19	1	1	26	7	2	1	0	33	52	0	29	0	39	0	7	5	41	46	17	1	17	480	6	144	0	551	0	7	473	39	3	68	185	7	155	6	12	225	67	46	3	6	265	491	31	115	12	274	26	58	16	239	379	109	14	126	4158
73rd Precinct	2012	7	6	56	0	182	0	0	49	6	2	38	46	1	76	0	3	37	8	11	12	5	10	144	1	3	6	223	1	0	13	129	88	18	1	44	1219	20	1051	0	1872	1	0	824	69	5	312	333	6	493	0	30	257	121	60	87	34	252	904	32	66	63	1388	9	0	199	1084	720	160	14	421	10887
75th Precinct	2012	7	0	122	0	94	0	0	65	0	0	57	93	0	0	82	6	35	11	2	3	6	52	347	0	6	1	225	2	6	26	167	155	56	7	396	2022	17	402	0	1076	0	0	716	12	1	358	489	15	117	455	59	376	64	44	8	33	424	1870	32	54	9	2505	20	34	269	1422	1085	427	101	3787	16281
76th Precinct	2012	7	2	23	0	196	0	0	7	2	0	17	7	0	20	0	0	5	0	0	0	1	43	137	0	0	0	88	1	0	3	16	15	4	0	9	596	7	187	0	1719	0	1	117	19	0	72	73	2	154	0	3	117	4	57	1	38	244	1222	9	21	4	400	11	0	11	149	136	34	5	74	4891
77th Precinct	2012	7	1	28	0	141	0	0	34	10	0	2	50	2	50	0	0	19	0	0	7	3	4	84	0	2	7	14	0	0	2	46	38	12	4	26	586	12	253	0	1161	0	0	493	67	0	25	320	7	359	8	26	69	15	2	25	34	25	727	36	39	68	461	8	12	16	293	320	117	15	185	5198
78th Precinct	2012	7	4	6	0	148	0	5	58	1	0	9	39	1	14	1	2	13	0	5	0	3	12	66	0	8	10	61	4	5	0	22	58	4	15	19	593	18	48	0	1147	0	11	203	15	0	102	405	4	77	2	25	44	2	85	7	20	105	667	43	90	58	462	35	24	1	90	228	30	84	169	4301
79th Precinct	2012	7	5	47	0	162	0	0	253	0	0	0	17	0	34	0	2	16	3	2	0	6	12	84	1	15	1	82	10	2	8	41	58	21	1	22	905	26	472	0	889	0	0	1884	7	0	2	248	3	321	0	36	307	56	14	9	20	72	581	34	106	15	397	71	87	93	298	395	199	1	118	6761
81st Precinct	2012	7	2	107	0	198	0	0	58	0	1	21	37	2	116	0	1	1	0	1	0	5	5	130	0	8	0	88	0	1	6	53	63	8	1	7	920	10	534	0	1538	0	4	543	15	1	152	239	9	573	0	11	22	2	28	3	18	18	980	26	63	29	722	4	10	25	397	452	90	6	51	6575
83rd Precinct	2012	7	3	42	0	121	0	5	196	5	0	54	70	0	15	0	4	4	0	0	4	8	3	93	1	0	0	48	27	4	2	69	146	18	0	18	960	21	265	0	845	0	6	1698	89	4	171	366	7	166	45	18	54	33	13	25	78	31	539	21	3	6	222	98	18	45	457	1105	152	6	76	6683
84th Precinct	2012	7	0	45	0	90	0	0	102	0	0	16	0	0	44	0	3	84	1	8	0	18	60	94	1	0	0	50	9	6	2	54	41	8	0	27	763	2	200	0	844	1	13	919	0	0	228	20	7	446	1	178	1029	3	46	2	134	637	705	25	19	6	532	53	45	100	545	427	116	0	315	7598
88th Precinct	2012	7	0	13	0	138	0	0	132	1	0	4	114	0	15	0	1	18	3	0	1	7	76	74	1	11	1	11	0	0	2	65	41	14	0	13	756	3	80	0	1167	0	0	843	6	0	20	398	1	126	0	7	141	13	1	2	31	305	783	23	29	2	93	3	2	17	451	272	90	6	127	5042
90th Precinct	2012	7	0	26	0	180	0	0	65	0	0	0	29	0	11	2	2	31	1	1	2	13	3	156	0	2	0	7	2	0	1	26	28	7	1	26	622	6	149	1	1733	5	0	769	31	0	28	244	1	96	34	28	136	10	10	5	78	33	1295	35	50	1	196	84	10	41	290	244	27	4	174	5848
94th Precinct	2012	7	2	17	0	103	0	2	140	5	0	10	54	0	5	0	1	70	2	0	4	6	26	77	0	43	0	18	14	0	0	46	39	13	1	18	716	8	141	0	968	0	3	1040	76	1	79	316	3	110	1	12	435	13	4	13	37	170	726	5	358	2	270	134	3	12	239	335	58	3	106	5681
100th Precinct	2012	7	0	2	0	81	0	0	36	1	0	0	12	1	3	0	14	20	0	9	0	0	24	71	0	17	0	33	0	0	1	21	71	2	0	9	428	3	51	0	553	0	0	475	2	1	2	123	3	103	0	62	191	0	25	11	1	159	684	9	85	0	1048	1	0	32	188	562	24	1	233	4632
101st Precinct	2012	7	1	42	0	111	0	0	34	10	0	17	15	0	23	0	5	1	2	5	2	2	10	73	1	7	0	24	2	1	3	44	67	9	1	21	533	10	397	0	810	0	0	328	70	1	82	145	2	252	2	44	24	20	34	13	19	159	664	21	88	3	193	13	1	80	600	560	63	4	122	4824
102nd Precinct	2012	7	1	12	0	114	0	4	94	1	0	8	18	0	0	9	6	20	5	18	1	0	10	120	0	23	1	125	8	6	1	68	49	8	3	28	761	4	86	0	871	0	9	1151	1	0	41	158	0	47	31	17	140	13	87	8	10	32	1165	13	110	3	581	23	10	11	397	321	61	4	134	5539
103rd Precinct	2012	7	2	2	0	111	0	0	210	0	0	6	23	1	4	1	0	61	7	11	1	1	36	121	0	4	0	539	15	11	2	16	79	8	4	39	1315	8	40	0	1054	0	0	2203	0	5	148	156	3	14	12	9	339	39	169	17	33	129	1218	22	56	22	4418	55	192	38	225	735	74	15	381	11829
104th Precinct	2012	7	1	0	0	120	0	0	30	0	0	0	20	0	0	0	0	2	0	4	0	0	6	65	1	6	0	128	17	0	0	48	61	0	0	120	629	2	0	0	912	0	0	338	0	0	5	87	0	0	0	8	10	0	90	0	2	29	1208	31	66	2	814	313	0	0	318	511	0	0	688	5434
105th Precinct	2012	7	0	102	0	111	0	0	58	0	0	6	7	0	38	0	3	12	0	3	0	2	63	358	1	21	0	214	13	0	22	212	99	8	0	45	1398	6	680	0	1124	1	0	476	5	2	66	118	3	300	4	32	121	17	57	3	12	449	2462	49	166	0	1817	172	10	250	1401	671	117	6	370	10967
106th Precinct	2012	7	5	0	0	64	0	0	48	0	1	0	92	1	0	82	3	114	0	4	3	0	15	155	2	14	0	65	21	0	10	123	69	24	13	36	964	14	0	0	510	0	0	530	0	5	0	665	8	0	622	15	961	0	58	26	6	107	1069	14	103	10	901	76	0	54	850	467	111	52	218	7452
107th Precinct	2012	7	1	75	0	125	0	0	221	3	0	8	4	0	25	4	2	92	2	0	4	0	55	223	0	16	0	32	0	0	1	33	73	0	0	16	1015	4	458	0	891	0	0	1178	15	0	68	92	3	190	45	8	1607	3	48	40	10	176	1661	13	168	0	354	0	0	10	323	554	32	3	72	8026
108th Precinct	2012	7	0	37	0	140	0	0	108	0	1	1	23	0	0	0	0	110	0	3	0	2	1	152	0	13	2	6	32	0	3	28	54	3	2	39	760	9	179	0	1193	0	0	1020	7	4	23	286	3	110	5	1	1056	3	111	33	19	99	1172	12	139	7	121	148	0	43	224	406	54	11	326	6824
109th Precinct	2012	7	0	1	0	355	0	0	374	15	1	22	80	0	2	0	2	27	7	34	5	4	6	389	2	15	10	111	46	4	14	34	109	16	3	60	1748	8	23	0	3122	0	0	3074	52	2	72	812	3	13	1	17	258	51	274	53	32	162	2873	49	128	25	990	280	42	79	220	839	113	36	519	14222
110th Precinct	2012	7	0	4	0	147	0	0	67	1	0	20	25	0	14	1	0	1	6	20	0	17	1	243	0	409	0	24	6	2	8	87	142	12	0	31	1288	11	56	0	1601	0	0	645	4	1	140	300	2	58	34	13	27	34	273	4	100	85	2439	24	2582	2	447	78	18	60	610	1049	77	13	358	11145
111th Precinct	2012	7	0	2	0	267	0	0	38	0	0	3	8	0	0	1	1	2	1	6	0	0	45	205	0	19	0	106	1	1	6	26	64	8	2	29	841	0	10	0	2264	0	0	222	0	0	47	78	2	5	13	2	19	1	53	0	4	279	2507	19	89	1	846	25	27	81	175	431	50	14	280	7544
112th Precinct	2012	7	0	3	0	142	0	0	142	0	0	7	13	0	0	0	1	0	3	7	1	4	1	283	1	8	1	15	0	0	1	68	57	5	2	28	793	5	23	0	1090	0	0	1163	11	0	41	213	6	7	0	13	8	20	78	9	23	18	2606	33	102	2	279	32	2	10	467	389	32	8	171	6861
113th Precinct	2012	7	2	80	0	124	0	0	151	0	0	0	28	1	3	6	1	131	0	0	4	1	34	116	0	16	1	447	25	0	6	102	127	29	0	92	1527	12	654	0	1106	0	0	761	27	0	2	244	6	73	60	32	1272	10	8	22	2	163	709	11	56	19	4751	71	5	74	742	975	153	2	619	12641
114th Precinct	2012	7	2	0	0	258	0	0	282	26	0	13	39	1	0	20	6	8	3	8	1	2	27	211	0	53	0	70	14	0	1	64	65	3	0	55	1232	14	0	0	2447	0	0	1720	72	3	95	356	7	0	119	26	67	11	138	12	25	129	1906	18	216	9	556	157	0	44	427	512	21	2	326	9435
115th Precinct	2012	7	1	0	0	207	0	0	107	22	0	2	71	0	0	62	7	45	6	56	2	40	9	302	0	16	0	66	16	0	5	279	284	21	0	66	1692	15	207	0	1604	14	0	821	79	2	86	515	2	211	191	37	184	19	293	5	267	68	1823	12	120	12	668	77	70	143	2017	2325	180	2	644	12713
120th Precinct	2012	7	4	90	0	112	0	0	114	30	0	34	30	0	80	0	5	1	17	9	9	3	89	174	0	100	0	71	0	5	7	140	207	54	4	60	1449	22	560	0	1215	0	0	531	314	9	232	325	9	505	0	28	45	133	21	26	31	375	1335	31	594	3	714	0	20	161	764	1411	284	17	424	10139
122nd Precinct	2012	7	2	73	0	166	5	0	124	15	1	43	21	7	42	0	1	1	18	3	19	4	54	106	1	168	0	63	0	19	9	80	82	15	3	144	1289	5	680	0	1680	42	1	895	120	9	406	255	30	422	0	23	31	120	36	155	33	387	1160	93	631	12	664	4	134	76	511	606	132	68	1026	10447
123rd Precinct	2012	7	1	35	0	60	0	1	41	0	0	24	14	0	34	2	4	23	1	0	1	0	19	147	0	28	0	22	3	1	14	92	44	10	0	22	643	4	264	0	599	0	3	287	19	18	93	166	7	256	54	33	308	34	3	10	5	177	1283	11	949	3	632	10	2	155	703	472	97	2	124	6783
Citywide	2012	7	109	2518	261	10981	69	35	9050	892	47	1172	3019	100	1742	345	396	3929	180	908	155	435	1679	9891	31	6492	365	6747	523	282	418	4734	4637	892	383	5448	78865	723	18694	5916	91324	530	294	84734	6561	228	8398	23760	744	14550	2594	3423	37235	1519	7336	1417	2807	13265	88216	2901	44507	3490	61918	4511	2309	4306	34082	35821	7058	2539	39427	657137
Transportation Bureau	2012	7	13	51	245	499	55	0	1721	538	31	222	403	69	43	3	192	733	7	279	14	14	313	574	1	4796	64	1146	19	0	82	208	372	47	59	2432	15245	58	478	5733	5544	413	0	21351	3985	44	1628	4113	420	400	74	1581	8193	78	637	263	127	3288	8373	732	32763	617	9567	280	8	649	1603	3077	700	490	16784	134051
Housing Bureau	2012	7	3	0	0	4	0	0	4	0	0	2	2	1	2	0	2	0	0	0	0	0	1	2	1	0	0	4	0	1	0	3	6	1	0	0	39	4	14	0	8	0	0	19	1	2	5	12	1	12	0	4	4	6	0	0	3	2	12	4	0	0	4	0	2	0	10	20	3	1	11	164
Patrol Bureau	2012	7	93	2467	16	10478	14	35	7325	354	16	948	2613	30	1697	342	202	3196	173	629	141	421	1365	9315	29	1696	301	5597	504	281	336	4523	4259	844	324	3016	63580	661	18202	183	85768	117	294	63364	2575	182	6763	19627	323	14138	2520	1838	29038	1435	6699	1154	2677	9975	79831	2165	11744	2873	52347	4231	2299	3657	32469	32723	6355	2048	22593	522868
Brooklyn North	2012	7	19	503	0	1409	0	7	1094	27	3	202	510	5	366	84	23	315	29	25	33	77	251	1283	5	90	16	766	65	19	62	696	697	175	16	597	9469	125	3547	1	12093	7	26	9729	372	12	1375	2973	59	2807	544	405	2826	330	222	179	497	1967	9110	269	787	201	6786	484	221	817	5476	5355	1436	156	5360	76554
Brooklyn South	2012	7	20	406	0	1748	2	8	1035	29	0	116	398	6	199	39	39	280	23	121	24	41	219	1623	5	141	43	1339	41	60	46	829	648	144	45	287	10004	137	2619	0	16810	5	30	9605	203	11	998	3343	43	1686	475	476	2741	228	1324	194	295	1708	15559	431	1102	322	11057	844	398	395	5939	4993	1066	312	2686	88035
Bronx	2012	7	15	317	4	935	5	6	613	29	5	69	214	3	402	2	15	346	18	16	17	22	108	964	3	419	21	976	27	42	32	523	549	144	12	233	7106	105	2746	10	8198	27	132	6711	355	51	482	1979	59	2809	37	85	4143	151	252	151	125	1051	8212	239	2176	222	9417	132	326	330	3818	4491	1003	148	1635	61808
Manhattan North	2012	7	5	455	6	2069	2	9	925	110	3	121	301	2	190	1	15	477	20	102	6	73	130	851	7	79	32	229	138	56	45	349	277	66	34	252	7437	71	3361	26	13238	19	86	8545	570	22	895	2904	34	2054	28	136	3927	148	1543	81	598	1087	8094	501	1099	327	2730	991	421	301	2505	2031	501	303	2068	61245
Manhattan South	2012	7	11	226	6	1502	0	0	1379	35	1	226	647	2	272	28	49	1107	5	165	8	126	152	1080	0	14	174	126	14	54	37	561	285	80	180	707	9259	67	1561	146	10783	2	7	10956	277	24	1364	3334	29	2216	243	316	8733	50	1502	102	528	980	8912	240	132	1666	1563	245	400	413	3569	2057	674	869	3809	67769
Queens North	2012	7	4	47	0	1636	0	0	1148	64	2	68	279	1	16	84	17	195	26	138	9	69	96	1850	4	539	13	526	132	7	38	634	836	68	9	428	8983	64	498	0	14233	14	0	9003	225	12	509	2647	25	404	363	117	1629	139	1310	116	472	869	16534	198	3442	60	4721	1110	159	460	4458	6462	527	86	3312	74178
Queens South	2012	7	12	315	0	841	0	4	852	15	1	45	199	4	96	102	34	451	16	50	15	6	247	1237	4	118	2	1479	84	18	46	619	634	88	21	286	7941	61	2366	0	6919	1	9	7102	120	14	409	1701	28	979	776	219	4655	102	486	140	93	1374	9632	152	832	57	14063	411	218	549	4726	4845	635	87	2149	65910
Staten Island	2012	7	7	198	0	338	5	1	279	45	1	101	65	7	156	2	10	25	36	12	29	7	162	427	1	296	0	156	3	25	30	312	333	79	7	226	3381	31	1504	0	3494	42	4	1713	453	36	731	746	46	1183	54	84	384	287	60	191	69	939	3778	135	2174	18	2010	14	156	392	1978	2489	513	87	1574	27369
Transit Bureau	2012	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	39	54
1st Precinct	2012	8	2	50	2	203	0	0	103	10	0	1	46	0	58	2	1	18	0	15	1	22	10	92	0	7	1	36	0	2	3	63	24	14	6	24	816	5	390	69	1600	0	0	1228	219	2	35	449	9	539	18	24	336	11	118	9	104	198	910	10	41	15	319	0	12	44	667	282	95	39	248	8045
5th Precinct	2012	8	1	9	0	82	0	0	245	1	2	4	31	1	22	0	8	101	2	18	10	4	26	50	0	7	8	11	0	2	0	9	26	6	3	66	755	4	67	0	446	0	0	2211	21	5	23	282	4	213	0	25	965	9	105	42	26	173	345	8	50	173	87	2	52	10	90	208	62	24	407	6139
6th Precinct	2012	8	1	9	0	150	0	0	144	0	0	10	43	0	25	0	2	92	0	3	1	0	72	158	0	0	0	0	0	1	0	17	29	1	3	11	772	10	75	0	1356	0	1	1153	4	1	43	334	2	247	6	12	475	5	86	11	27	387	1386	7	12	6	35	1	10	3	127	195	10	21	138	6186
7th Precinct	2012	8	0	0	0	152	0	0	147	0	0	0	26	0	0	13	0	54	0	33	0	0	0	60	0	4	21	23	12	0	1	20	12	2	1	68	649	2	0	0	1019	2	0	653	0	2	14	395	2	0	168	3	767	2	200	1	0	0	560	51	7	251	234	66	0	20	121	107	19	6	315	4987
9th Precinct	2012	8	1	5	0	243	0	0	90	9	0	23	85	0	1	0	0	42	2	14	3	4	18	113	0	3	4	13	0	0	4	16	30	4	8	28	763	9	41	2	1716	0	0	892	34	0	99	762	1	33	2	4	379	3	131	16	33	37	765	25	8	18	74	0	5	24	196	218	26	47	438	6038
10th Precinct	2012	8	1	31	0	137	0	0	33	0	0	5	26	0	23	10	3	42	0	16	0	13	4	299	0	0	6	24	8	2	21	37	45	20	5	69	880	17	204	0	1250	0	0	374	0	9	70	225	1	223	69	24	341	0	112	2	130	35	2020	15	20	40	227	79	19	196	273	327	127	65	574	7068
13th Precinct	2012	8	1	37	0	66	0	0	196	0	0	2	32	1	10	0	3	121	1	7	1	9	22	18	2	4	37	3	0	0	0	26	10	7	4	26	646	3	169	19	704	0	1	1471	12	0	36	348	3	109	0	7	881	4	111	11	85	83	255	65	11	333	61	16	2	9	252	178	86	36	256	5617
MTS Precinct	2012	8	0	28	0	239	0	0	231	0	0	11	36	0	72	0	0	142	0	45	0	3	0	296	0	0	26	40	85	38	5	158	44	9	29	302	1839	8	249	0	2051	0	0	2570	0	0	138	283	2	628	0	0	1428	8	536	1	84	4	2018	6	0	709	471	180	330	88	867	378	76	101	1287	14501
17th Precinct	2012	8	3	43	0	133	0	0	221	0	0	165	64	0	46	0	17	267	0	21	1	4	39	87	0	0	18	0	0	1	1	83	31	9	121	110	1485	9	346	55	784	0	5	1177	7	1	1013	348	3	321	1	247	1312	3	214	21	22	203	627	30	7	137	117	5	3	13	916	196	103	658	484	9388
MTN Precinct	2012	8	2	20	3	263	0	0	45	2	0	17	53	0	9	0	1	330	9	10	4	15	11	182	1	0	16	13	0	5	4	87	34	21	6	71	1234	12	252	6	1525	0	0	682	2	6	131	350	4	169	4	5	3058	19	71	9	91	62	1381	26	1	121	101	1	18	45	576	253	163	58	437	9639
19th Precinct	2012	8	0	146	4	181	0	0	262	5	0	62	40	0	47	1	0	243	4	49	2	33	67	148	0	2	0	80	3	2	11	82	50	12	5	31	1572	9	993	26	1911	1	17	2445	41	1	273	1069	3	341	3	9	1935	32	508	9	312	167	787	48	22	34	809	35	20	119	771	422	90	101	233	13596
20th Precinct	2012	8	2	42	0	281	0	0	249	9	1	13	66	0	32	0	0	5	1	9	0	31	1	106	1	0	0	18	21	3	3	24	26	2	4	35	985	2	204	0	1914	0	0	1196	102	7	128	379	2	244	2	1	64	14	78	2	168	28	765	69	2	3	114	256	21	9	187	173	33	31	291	6489
Central Park Precinct	2012	8	0	0	0	31	0	0	49	0	1	2	61	1	1	0	10	31	0	62	0	4	5	30	0	0	1	16	0	0	4	24	8	5	0	10	356	2	48	3	466	12	0	697	10	1	64	234	2	56	0	32	394	9	123	1	16	73	143	21	99	2	241	3	6	55	216	84	45	7	74	3239
23rd Precinct	2012	8	0	58	0	189	0	0	18	6	0	2	31	0	29	0	0	2	2	24	1	7	1	92	1	2	0	31	0	0	1	8	9	5	0	9	528	3	524	1	1587	0	0	106	26	0	12	150	2	246	0	12	44	7	159	5	49	16	1102	36	19	0	94	5	3	4	120	99	25	10	57	4523
24th Precinct	2012	8	0	17	0	193	0	0	179	1	0	16	17	0	16	0	0	0	0	13	6	4	0	98	3	4	0	16	0	1	0	23	21	3	4	52	687	9	126	0	1582	0	0	1243	5	0	92	112	1	131	0	0	39	1	137	14	38	2	590	59	17	8	87	33	3	3	181	177	47	30	311	5078
